block,ref,part,proteus_part,pin,net,connects_to,setting,required
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.0,LED0_DRV,R1 to D1 cathode,active low LED0,yes
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.1,LED1_DRV,R2 to D2 cathode,active low LED1,yes
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.2,LED2_DRV,R3 to D3 cathode,active low LED2,yes
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.3,LED3_DRV,R4 to D4 cathode,active low LED3,yes
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.4,LED4_DRV,R5 to D5 cathode,active low LED4,yes
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.5,LED5_DRV,R6 to D6 cathode,active low LED5,yes
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.6,LED6_DRV,R7 to D7 cathode,active low LED6,yes
mcu,U1,8051 MCU,AT89C52 or AT89C51,P1.7,LED7_DRV,R8 to D8 cathode,active low LED7,yes
led,D1,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D1,LED,LED-RED,K,LED0_DRV,R1 to U1 P1.0,LED cathode,yes
led,D2,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D2,LED,LED-RED,K,LED1_DRV,R2 to U1 P1.1,LED cathode,yes
led,D3,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D3,LED,LED-RED,K,LED2_DRV,R3 to U1 P1.2,LED cathode,yes
led,D4,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D4,LED,LED-RED,K,LED3_DRV,R4 to U1 P1.3,LED cathode,yes
led,D5,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D5,LED,LED-RED,K,LED4_DRV,R5 to U1 P1.4,LED cathode,yes
led,D6,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D6,LED,LED-RED,K,LED5_DRV,R6 to U1 P1.5,LED cathode,yes
led,D7,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D7,LED,LED-RED,K,LED6_DRV,R7 to U1 P1.6,LED cathode,yes
led,D8,LED,LED-RED,A,VCC_5V,5 V rail,LED anode,yes
led,D8,LED,LED-RED,K,LED7_DRV,R8 to U1 P1.7,LED cathode,yes
resistor,R1,LED resistor,RES,1,LED0_DRV,U1 P1.0,220 ohm to 1 kohm,yes
resistor,R2,LED resistor,RES,1,LED1_DRV,U1 P1.1,220 ohm to 1 kohm,yes
resistor,R3,LED resistor,RES,1,LED2_DRV,U1 P1.2,220 ohm to 1 kohm,yes
resistor,R4,LED resistor,RES,1,LED3_DRV,U1 P1.3,220 ohm to 1 kohm,yes
resistor,R5,LED resistor,RES,1,LED4_DRV,U1 P1.4,220 ohm to 1 kohm,yes
resistor,R6,LED resistor,RES,1,LED5_DRV,U1 P1.5,220 ohm to 1 kohm,yes
resistor,R7,LED resistor,RES,1,LED6_DRV,U1 P1.6,220 ohm to 1 kohm,yes
resistor,R8,LED resistor,RES,1,LED7_DRV,U1 P1.7,220 ohm to 1 kohm,yes
key,U1,8051 MCU,AT89C52 or AT89C51,P3.0,KEY_UP_N,SW1 and R9,active low input,yes
key,U1,8051 MCU,AT89C52 or AT89C51,P3.1,KEY_DOWN_N,SW2 and R10,active low input,yes
key,U1,8051 MCU,AT89C52 or AT89C51,P3.2,KEY_START_N,SW3 and R11,active low input,yes
key,U1,8051 MCU,AT89C52 or AT89C51,P3.3,KEY_MODE_N,SW4 and R12,active low input,yes
key,SW1,button,BUTTON,1,KEY_UP_N,U1 P3.0,press to ground,yes
key,SW1,button,BUTTON,2,GND,ground rail,press to ground,yes
key,SW2,button,BUTTON,1,KEY_DOWN_N,U1 P3.1,press to ground,yes
key,SW2,button,BUTTON,2,GND,ground rail,press to ground,yes
key,SW3,button,BUTTON,1,KEY_START_N,U1 P3.2,press to ground,yes
key,SW3,button,BUTTON,2,GND,ground rail,press to ground,yes
key,SW4,button,BUTTON,1,KEY_MODE_N,U1 P3.3,press to ground,yes
key,SW4,button,BUTTON,2,GND,ground rail,press to ground,yes
pullup,R9,key pullup,RES,1,KEY_UP_N,U1 P3.0,4.7 kohm to 10 kohm,yes
pullup,R9,key pullup,RES,2,VCC_5V,5 V rail,4.7 kohm to 10 kohm,yes
pullup,R10,key pullup,RES,1,KEY_DOWN_N,U1 P3.1,4.7 kohm to 10 kohm,yes
